OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
2,John,CA,25.00,Carpet,2000,2.25,2.10,4500.00,4200.00,2175.00,10875.00,01-07-2023
2,Doctor Who,WA,9.25,Wood,243.00,5.15,4.75,1251.45,1154.25,216.51,2622.21,01-07-2023
3,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,01-07-2023
1,Ada,TX,4.45,Wood,1000,5.15,4.75,5150.00,4750.00,440.55,10340.55,01-07-2023
71,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
79,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
5,Sara,WA,9.25,Wood,900,5.15,4.75,4635.00,4275.00,824.18,9734.18,01-07-2023
7,Brian,TX,4.45,Wood,780,5.15,4.75,4017.00,3705.00,343.63,8065.63,01-07-2023
80,@Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
10,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
18,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
26,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
32,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
35,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
43,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
51,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
59,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
62,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
70,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
78,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
86,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
92,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
95,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
101,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
107,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
113,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
119,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
125,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
131,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
137,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
143,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
149,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
152,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
158,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
164,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22,01-07-2023
